PSG,56.80170059,-132.9450073,33.8328
PSP,33.82970047,-116.5070038,145.3896
PVD,41.73260117,-71.42040253,16.764
PWM,43.64619827,-70.30930328,23.1648
RAP,44.04529953,-103.0569992,976.5792
RDD,40.50899887,-122.2929993,153.924
RDM,44.2541008,-121.1500015,938.784
RDU,35.87760162,-78.78749847,132.588
RHI,45.63119888,-89.46749878,494.9952
RIC,37.50519943,-77.31970215,50.9016
RKS,41.59420013,-109.0650024,2061.6672
RNO,39.49909973,-119.7679977,1345.692
ROA,37.32550049,-79.97540283,358.14
ROC,43.1189003,-77.67240143,170.3832
ROW,33.30160141,-104.5309982,1118.9208
RST,43.90829849,-92.5,401.4216
RSW,26.53619957,-81.75520325,9.144
SAF,35.61709976,-106.0889969,1934.8704
SAN,32.73360062,-117.1900024,5.1816
SAT,29.53370094,-98.46980286,246.5832
SAV,32.12760162,-81.20210266,15.24
SBA,34.42620087,-119.8399963,3.9624
SBN,41.70869827,-86.31729889,243.5352
SBP,35.23680115,-120.6419983,64.6176
SCC,70.19470215,-148.4649963,19.812
SCE,40.84930038,-77.84870148,377.6472
SDF,38.1744,-85.736,152.7048
SEA,47.44900131,-122.3089981,131.9784
SFO,37.61899948,-122.375,3.9624
SGF,37.24570084,-93.38860321,386.4864
SGU,37.03638889,-113.5103056,896.4168
SHV,32.44660187,-93.82559967,78.6384
SIT,57.04710007,-135.3619995,6.4008
SJC,37.36259842,-121.9290009,18.8976
SJT,31.35770035,-100.4960022,584.9112
SJU,18.43939972,-66.00180054,2.7432
SLC,40.78839874,-111.9779968,1288.3896
SMF,38.69540024,-121.5910034,8.2296
SNA,33.67570114,-117.8679962,17.0688
SPI,39.84410095,-89.67790222,182.2704
SPS,33.98880005,-98.49189758,310.5912
SRQ,27.39539909,-82.55439758,9.144
STL,38.74869919,-90.37000275,188.3664
STT,18.33729935,-64.9733963,7.0104
STX,17.70190048,-64.79859924,22.5552
SUN,43.50439835,-114.2959976,1620.9264
SWF,41.5041008,-74.10479736,149.6568
SYR,43.11119843,-76.10630035,128.3208
TKI,33.17789841,-96.59049988,178.308
TLH,30.39649963,-84.35030365,24.6888
TPA,27.97550011,-82.53320313,7.9248
TRI,36.47520065,-82.40740204,462.9912
TTN,40.27669907,-74.81349945,64.9224
TUL,36.19839859,-95.88809967,206.3496
TUS,32.11610031,-110.9410019,805.5864
TVC,44.74140167,-85.5821991,190.1952
TWF,42.48180008,-114.487999,1266.1392
TXK,33.45370102,-93.99099731,118.872
TYR,32.35409927,-95.40239716,165.8112
TYS,35.81100082,-83.9940033,299.0088
VLD,30.78249931,-83.27670288,61.8744
VPS,30.4832,-86.525398,26.5176
WRG,56.48429871,-132.3699951,14.9352
XNA,36.281898,-94.306801,392.2776
YAK,59.50329971,-139.6600037,10.0584
YUM,32.65660095,-114.6060028,64.9224
